Multiple Faces Detected, 1812, 8.37019395828247
Face Not Verified, 2362, 13.341699123382568
Face Not Verified, 2372, 13.814040422439575
Face Not Verified, 2382, 14.289424419403076
Face Not Verified, 2392, 14.76249647140503
No Faces Detected, 4132, 27.725682258605957
No Faces Detected, 4202, 28.06159210205078
No Faces Detected, 4412, 29.015530109405518
Face Not Verified, 4442, 29.546024799346924
Face Not Verified, 4452, 30.01976466178894
Face Not Verified, 4462, 30.484434604644775
Face Not Verified, 4492, 31.018258571624756
Face Not Verified, 4502, 31.503179788589478
Face Not Verified, 4512, 31.955626010894775
Multiple Faces Detected, 4882, 33.64015007019043
Multiple Faces Detected, 5212, 35.135090827941895
Multiple Faces Detected, 5232, 35.69703435897827
Multiple Faces Detected, 6072, 42.407402992248535
Face Not Verified, 6142, 45.69025135040283
Face Not Verified, 6152, 46.158549308776855
Face Not Verified, 7542, 52.75724983215332
Face Not Verified, 7592, 53.42856812477112
Multiple Faces Detected, 7652, 54.19841456413269
Face Not Verified, 7692, 54.7850661277771
Face Not Verified, 8302, 60.34753608703613
Face Not Verified, 8352, 60.97360277175903
Face Not Verified, 9242, 66.20984482765198
Face Not Verified, 9292, 67.09265208244324
Multiple Faces Detected, 13032, 87.17506003379822
Multiple Faces Detected, 13042, 87.264817237854
Face Not Verified, 13052, 87.71069717407227
Face Not Verified, 14292, 96.51807689666748
Face Not Verified, 14312, 97.03256034851074
Face Not Verified, 14322, 97.51774001121521
Face Not Verified, 14342, 98.45382022857666
Face Not Verified, 14352, 98.92228698730469
Face Not Verified, 14362, 99.39134240150452
Face Not Verified, 14372, 99.87920260429382
Face Not Verified, 14382, 100.3494381904602
Face Not Verified, 14392, 100.82858848571777
Face Not Verified, 14402, 101.29994988441467
Face Not Verified, 14422, 102.2477343082428
Face Not Verified, 14432, 102.72690105438232
Multiple Faces Detected, 14452, 103.29862642288208
Face Not Verified, 14462, 103.7592396736145
Face Not Verified, 14492, 105.21020793914795
Multiple Faces Detected, 14512, 105.36193442344666
Face Not Verified, 14572, 107.76124167442322
Face Not Verified, 14592, 108.67716097831726
Face Not Verified, 14612, 109.1903645992279
Face Not Verified, 14622, 109.67561912536621
Face Not Verified, 14632, 110.14037489891052
Face Not Verified, 14642, 110.62093162536621
Face Not Verified, 14652, 111.09829258918762
Face Not Verified, 14662, 111.57764005661011
Face Not Verified, 14672, 112.05216097831726
Multiple Faces Detected, 14752, 114.58280372619629
Face Not Verified, 21122, 144.17643189430237
Face Not Verified, 21152, 144.73016715049744
Face Not Verified, 21162, 145.2070915699005
Face Not Verified, 21172, 145.68317914009094
Face Not Verified, 21202, 146.2260181903839
Face Not Verified, 21212, 146.70247340202332
Face Not Verified, 21222, 147.29177713394165
Face Not Verified, 21252, 147.8340380191803
Face Not Verified, 21262, 148.30470514297485
Face Not Verified, 21272, 148.7671778202057
Face Not Verified, 21282, 149.2392601966858
Face Not Verified, 21292, 149.71090173721313
Face Not Verified, 21302, 150.1721067428589
Face Not Verified, 21312, 150.63258910179138
Face Not Verified, 21362, 151.28794598579407
Face Not Verified, 21412, 151.92061114311218
Summary
1. Missing Face: 3
2. Multiple Faces in Frame: 11
3. Unverified User: 59
